Date and Time,Store Number,Customer Name,Customer Email,Question,Answer
19 Mar 2018 05:52:21,9547,Barbara Kuhlman,barbara_kuhlman@mail.kz,1,1
19 Mar 2018 05:52:21,9547,Barbara Kuhlman,barbara_kuhlman@mail.kz,2,9
19 Mar 2018 05:52:21,9547,Barbara Kuhlman,barbara_kuhlman@mail.kz,3,2
2018-03-18 00:46:09,2230,Sherry Dergance,sherry_dergance@aol.com,1,9
2018-03-18 00:46:09,2230,Sherry Dergance,sherry_dergance@aol.com,2,9
2018-03-18 00:46:09,2230,Sherry Dergance,sherry_dergance@aol.com,3,9
01 Mar 2018 14:52:21,6003,Rex Boulds,rex_boulds@hotmail.com,1,1
01 Mar 2018 14:52:21,6003,Rex Boulds,rex_boulds@hotmail.com,2,9
01 Mar 2018 14:52:21,6003,Rex Boulds,rex_boulds@hotmail.com,3,8
2018-03-18 23:18:01,2593,Eleanor Matthew,eleanor_matthew@yahoo.com,1,7
2018-03-18 23:18:01,2593,Eleanor Matthew,eleanor_matthew@yahoo.com,2,7
2018-03-18 23:18:01,2593,Eleanor Matthew,eleanor_matthew@yahoo.com,3,7
25 Mar 2018 19:54:57,9314,Dorothy Dixon,dorothy_dixon@mail.com,1,1
25 Mar 2018 19:54:57,9314,Dorothy Dixon,dorothy_dixon@mail.com,2,6
25 Mar 2018 19:54:57,9314,Dorothy Dixon,dorothy_dixon@mail.com,3,3
11 Mar 2018 03:06:09,9314,Marsha Lawrence,marsha_lawrence@mail.kz,1,8
11 Mar 2018 03:06:09,9314,Marsha Lawrence,marsha_lawrence@mail.kz,2,5
11 Mar 2018 03:06:09,9314,Marsha Lawrence,marsha_lawrence@mail.kz,3,7
16 Mar 2018 11:34:44,9314,Meta Stewart,stewart@gmail.com,1,8
16 Mar 2018 11:34:44,9314,Meta Stewart,stewart@gmail.com,2,7
16 Mar 2018 11:34:44,9314,Meta Stewart,stewart@gmail.com,3,8
02 Mar 2018 03:17:56,6003,Jennifer Patterson,jennifer_patterson@mail.kz,1,9
02 Mar 2018 03:17:56,6003,Jennifer Patterson,jennifer_patterson@mail.kz,2,8
02 Mar 2018 03:17:56,6003,Jennifer Patterson,jennifer_patterson@mail.kz,3,9
19 Mar 2018 00:32:16,9314,Simone Lopez,simone_lopez@mail.com,1,6
19 Mar 2018 00:32:16,9314,Simone Lopez,simone_lopez@mail.com,2,6
19 Mar 2018 00:32:16,9314,Simone Lopez,simone_lopez@mail.com,3,6
13 Mar 2018 05:10:21,6003,Carol Gardner,carol_gardner@yahoo.com,1,4
13 Mar 2018 05:10:21,6003,Carol Gardner,carol_gardner@yahoo.com,2,1
13 Mar 2018 05:10:21,6003,Carol Gardner,carol_gardner@yahoo.com,3,2
2018-03-12 14:21:05,2230,Ines Roman,ines_roman@gmail.com,1,7
2018-03-12 14:21:05,2230,Ines Roman,ines_roman@gmail.com,2,7
2018-03-12 14:21:05,2230,Ines Roman,ines_roman@gmail.com,3,7
12 Mar 2018 23:53:17,9547,Nelson Rankin,nelson_rankin@mail.com,1,1
12 Mar 2018 23:53:17,9547,Nelson Rankin,nelson_rankin@mail.com,2,7
12 Mar 2018 23:53:17,9547,Nelson Rankin,nelson_rankin@mail.com,3,4
13 Mar 2018 22:37:59,9547,Sharon Salazar,sharon_salazar@aol.com,1,8
13 Mar 2018 22:37:59,9547,Sharon Salazar,sharon_salazar@aol.com,2,7
13 Mar 2018 22:37:59,9547,Sharon Salazar,sharon_salazar@aol.com,3,8
04 Mar 2018 03:32:02,9314,Carman Shealy,carman_shealy@aol.com,1,3
04 Mar 2018 03:32:02,9314,Carman Shealy,carman_shealy@aol.com,2,6
04 Mar 2018 03:32:02,9314,Carman Shealy,carman_shealy@aol.com,3,4
2018-03-02 02:43:51,2230,Susan Hanavan,hanavan@aol.com,1,6
2018-03-02 02:43:51,2230,Susan Hanavan,hanavan@aol.com,2,8
2018-03-02 02:43:51,2230,Susan Hanavan,hanavan@aol.com,3,6
16 Mar 2018 13:01:05,6003,Michael Collins,collins@aol.com,1,9
16 Mar 2018 13:01:05,6003,Michael Collins,collins@aol.com,2,7
16 Mar 2018 13:01:05,6003,Michael Collins,collins@aol.com,3,8
22 Mar 2018 16:53:55,9314,Lisa Miller,lisa_miller@gmail.com,1,2
22 Mar 2018 16:53:55,9314,Lisa Miller,lisa_miller@gmail.com,2,9
22 Mar 2018 16:53:55,9314,Lisa Miller,lisa_miller@gmail.com,3,7
2018-03-14 02:25:13,2593,Jeanne White,white@hotmail.com,1,8
2018-03-14 02:25:13,2593,Jeanne White,white@hotmail.com,2,9
2018-03-14 02:25:13,2593,Jeanne White,white@hotmail.com,3,9
2018-03-13 19:39:25,2230,Charles Navarro,charles_navarro@hotmail.com,1,8
2018-03-13 19:39:25,2230,Charles Navarro,charles_navarro@hotmail.com,2,8
2018-03-13 19:39:25,2230,Charles Navarro,charles_navarro@hotmail.com,3,8
2018-03-30 00:38:11,2230,Josh Jernberg,jernberg@aol.com,1,8
2018-03-30 00:38:11,2230,Josh Jernberg,jernberg@aol.com,2,1
2018-03-30 00:38:11,2230,Josh Jernberg,jernberg@aol.com,3,8
27 Mar 2018 07:26:28,6003,Mildred Carmichael,carmichael@yahoo.com,1,7
27 Mar 2018 07:26:28,6003,Mildred Carmichael,carmichael@yahoo.com,2,9
27 Mar 2018 07:26:28,6003,Mildred Carmichael,carmichael@yahoo.com,3,7
17 Mar 2018 10:46:46,6003,Bette Rodriguez,bette_rodriguez@gmail.com,1,8
17 Mar 2018 10:46:46,6003,Bette Rodriguez,bette_rodriguez@gmail.com,2,10
17 Mar 2018 10:46:46,6003,Bette Rodriguez,bette_rodriguez@gmail.com,3,8
14 Mar 2018 02:15:04,6003,John Shenk,shenk@mail.kz,1,1
14 Mar 2018 02:15:04,6003,John Shenk,shenk@mail.kz,2,1
14 Mar 2018 02:15:04,6003,John Shenk,shenk@mail.kz,3,1
2018-03-25 23:07:55,2230,Steven Boyd,boyd@yahoo.com,1,6
2018-03-25 23:07:55,2230,Steven Boyd,boyd@yahoo.com,2,9
2018-03-25 23:07:55,2230,Steven Boyd,boyd@yahoo.com,3,6
04 Mar 2018 16:38:36,9547,Ira Nase,ira_nase@yahoo.com,1,9
04 Mar 2018 16:38:36,9547,Ira Nase,ira_nase@yahoo.com,2,8
04 Mar 2018 16:38:36,9547,Ira Nase,ira_nase@yahoo.com,3,9
29 Mar 2018 11:07:07,9314,Lindsay Mortimer,lindsay_mortimer@hotmail.com,1,8
29 Mar 2018 11:07:07,9314,Lindsay Mortimer,lindsay_mortimer@hotmail.com,2,1
29 Mar 2018 11:07:07,9314,Lindsay Mortimer,lindsay_mortimer@hotmail.com,3,5
